iso_code,country,year,empratio,gdpcap,laborshare,whours,empratio_fraction,estimated_hourly_wage,log_estimated_hourly_wage
POL,Poland,2000,48.049,18549.59131,0.625951588153839,2081.69736715209,0.48049,11.608420855014613,2.4517307705255136
POL,Poland,2001,46.131,18783.62705,0.647597968578339,2083.69085862429,0.46131,12.654901785537623,2.5380446330454083
POL,Poland,2002,44.198,19149.60815,0.622469663619995,2078.47518941182,0.44198,12.975694741441778,2.5630779722382804
POL,Poland,2003,43.871,19837.70441,0.600470006465912,2084.172099279,0.43871,13.027816189728544,2.567086778451127
POL,Poland,2004,44.114,20859.80344,0.563146650791168,2084.53282268555,0.44114,12.77457736078984,2.5474570522383813
POL,Poland,2005,45.254,21549.47334,0.56303483247757,2079.04844561429,0.45254,12.89586097093088,2.55690640491606
POL,Poland,2006,46.523,22900.50234,0.560928642749786,2080.57949930708,0.46523,13.270906794295708,2.585574180168879
POL,Poland,2007,48.601,24461.95933,0.564035594463348,2077.61446037517,0.48601,13.664306246453304,2.614787049445326
POL,Poland,2008,50.438,25530.83356,0.585874140262604,2069.59998474437,0.50438,14.329302592256065,2.6623065729834794
POL,Poland,2009,50.535,26180.75075,0.560189843177795,2054.00002533345,0.50535,14.12942901030139,2.648259786134816
POL,Poland,2010,50.47,27087.6542,0.563492834568024,2048.80002342179,0.5047,14.7613786057898,2.6920142162869536
POL,Poland,2011,50.692,28495.90943,0.555181264877319,2043.59998188558,0.50692,15.271510933627232,2.725989062182758
POL,Poland,2012,50.78,28926.77453,0.556905865669251,2038.39998966068,0.5078,15.563228637532957,2.7449109932113394
POL,Poland,2013,50.739,29142.28825,0.556507527828217,2034.75458813487,0.50739,15.708718343309352,2.7542158667186
POL,Poland,2014,51.865,30307.4897,0.555409491062164,2041.32191214799,0.51865,15.899277281286857,2.7662736541860053
POL,Poland,2015,52.608,31671.7464,0.545849204063416,2049.00914214152,0.52608,16.037955533864444,2.774958133832324
